sampleIndex,SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
53,G150_2,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
54,G150_3,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
55,G180_1,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
56,G180_2,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
57,G180_3,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
58,C30_1,C30,5,competence,competence,30min after competence induction in minimal medium (E5_1),treatment,minimal medium,5: competence induction,Jouy
59,C30_2,C30,5,competence,competence,30min after competence induction in minimal medium (E5_1),treatment,minimal medium,5: competence induction,Jouy
60,C90_1,C90,5,competence,competence,90min after competence induction in minimal medium (E5_2),treatment,minimal medium,5: competence induction,Jouy
61,C90_2,C90,5,competence,competence,90min after competence induction in minimal medium (E5_2),treatment,minimal medium,5: competence induction,Jouy
62,BI_1,BI,6,low motility,low motility,individual colonies from LB agar (E6_1),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
63,BI_2,BI,6,low motility,low motility,individual colonies from LB agar (E6_1),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
64,BC_2,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
65,BC_t1,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
66,BC_t2,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
67,BC_1,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
68,Sw_1,Sw,7,low motility,low motility,swarming cells from LB agar (E7_1),treatment,LB agar,7: swarming cells from LB agar,Jouy
69,Sw_2,Sw,7,low motility,low motility,swarming cells from LB agar (E7_1),treatment,LB agar,7: swarming cells from LB agar,Jouy
70,BT_1,BT,8,growing in favorable environment,with shaking before forming biofilm,growing in MSgg 24h shaking (E8_1),control,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
71,BT_2,BT,8,growing in favorable environment,with shaking before forming biofilm,growing in MSgg 24h shaking (E8_1),control,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
72,B36_1,B36,8,biofilm formation,biofilm formation,36h of growth without shaking biofilm formation  (E8_2),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
73,B36_2,B36,8,biofilm formation,biofilm formation,36h of growth without shaking biofilm formation  (E8_2),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
74,B60_1,B60,8,biofilm formation,biofilm formation,60h of growth without shaking biofilm formation  (E8_3),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
75,B60_2,B60,8,biofilm formation,biofilm formation,60h of growth without shaking biofilm formation  (E8_3),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking ,Jouy
76,M9exp_1,M9exp,9,growing in favorable environment,exponential phase,growing in M9 with glucose exponential phase  (E9_1),control,M9,9: growth cycle in M9 medium with glucose,Greifswald
77,M9exp_2,M9exp,9,growing in favorable environment,exponential phase,growing in M9 with glucose exponential phase  (E9_1),control,M9,9: growth cycle in M9 medium with glucose,Greifswald
78,M9exp_3,M9exp,9,growing in favorable environment,exponential phase,growing in M9 with glucose exponential phase  (E9_1),control,M9,9: growth cycle in M9 medium with glucose,Greifswald
79,M9tran_1,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
80,M9tran_2,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
81,M9tran_3,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
82,M9stat_1,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
83,M9stat_2,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
84,M9stat_3,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
85,M+G_1,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
86,M+G_2,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
87,M+G_3,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
88,Glu_1,Glu,10,growing in favorable environment,growing with glucose,growing in M9 with D-Glucose (E10_2),control,M9,10: growing in M9 medium with various nutrients,Grignon
89,Glu_2,Glu,10,growing in favorable environment,growing with glucose,growing in M9 with D-Glucose (E10_2),control,M9,10: growing in M9 medium with various nutrients,Grignon
90,Glu_3,Glu,10,growing in favorable environment,growing with glucose,growing in M9 with D-Glucose (E10_2),control,M9,10: growing in M9 medium with various nutrients,Grignon
91,Fru_1,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
92,Fru_2,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
93,Fru_3,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
94,Mal_1,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
95,Mal_2,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
96,Mal_3,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
97,G+S_1,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
98,G+S_2,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
99,G+S_3,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
100,Pyr_1,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
101,Pyr_2,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
102,Pyr_3,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
103,Gly_1,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
104,Gly_2,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
105,Gly_3,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
106,Glucon_1,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
107,Glucon_2,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
108,Glucon_3,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
109,aero_1,aero,11,growing in favorable environment,aerobic,growing in a synthetic medium aerobic (E11_1),control,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
110,aero_2,aero,11,growing in favorable environment,aerobic,growing in a synthetic medium aerobic (E11_1),control,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
111,aero_3,aero,11,growing in favorable environment,aerobic,growing in a synthetic medium aerobic (E11_1),control,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
112,nit_1,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
113,nit_2,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
114,nit_3,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
115,ferm_1,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
116,ferm_2,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
117,ferm_3,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
118,T-5.40H_1,T-5.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 340min before glucose exhausted (E12_1),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
119,T-4.40H_1,T-4.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 280min before glucose exhausted (E12_2),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
120,T-3.40H_1,T-3.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 220min before glucose exhausted (E12_3),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
121,T-2.40H_1,T-2.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 160min before glucose exhausted (E12_4),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
122,T-1.40H_1,T-1.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 100min before glucose exhausted (E12_5),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
123,T-1.10H_1,T-1.10H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 70min before glucose exhausted (E12_6),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
124,T-0.40H_1,T-0.40H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 40min before glucose exhausted (E12_7),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
125,T0.0H_1,T0.0H,12,growing in favorable environment,before glucose exhausted,growing in modified M9 0min before glucose exhausted (E12_8),control,modified M9,12: Glucose gradually consuming/starvation,Greifswald
126,T0.30H_1,T0.30H,12,starvation,starvation,30min after glucose exhausted (E12_9),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
127,T1.0H_1,T1.0H,12,starvation,starvation,60min after glucose exhausted (E12_10),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
128,T1.30H_1,T1.30H,12,starvation,starvation,90min after glucose exhausted (E12_11),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
129,T2.0H_1,T2.0H,12,starvation,starvation,120min after glucose exhausted (E12_12),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
130,T2.30H_1,T2.30H,12,starvation,starvation,150min after glucose exhausted (E12_13),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
131,T3.0H_1,T3.0H,12,starvation,starvation,180min after glucose exhausted (E12_14),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
132,T3.30H_1,T3.30H,12,starvation,starvation,210min after glucose exhausted (E12_15),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
133,T4.0H_1,T4.0H,12,starvation,starvation,240min after glucose exhausted (E12_16),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
134,T5.0H_1,T5.0H,12,starvation,starvation,300min after glucose exhausted (E12_17),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
135,HPh_1,HPh,13,high phosphate,high phosphate,exponential growth in high phosphate-defined medium (E13_1),control,high phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
136,HPh_2,HPh,13,high phosphate,high phosphate,exponential growth in high phosphate-defined medium (E13_1),control,high phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
137,HPh_3,HPh,13,high phosphate,high phosphate,exponential growth in high phosphate-defined medium (E13_1),control,high phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
138,LPh_1,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
139,LPh_2,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
140,LPh_3,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
141,LPhT_1,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
142,LPhT_2,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
143,LPhT_3,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
144,SMMPr_1,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
145,SMMPr_2,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
146,SMMPr_3,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
147,HiTm_1,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
148,HiTm_2,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
149,HiTm_3,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
150,LoTm_1,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
151,LoTm_2,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
152,LoTm_3,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
153,HiOs_1,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
154,HiOs_2,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
155,HiOs_3,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
156,BMM_1,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
157,BMM_2,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
158,BMM_3,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
159,Heat_1,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
160,Heat_2,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
161,Heat_3,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
162,Cold_1,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
163,Cold_2,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
164,Cold_3,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
165,Etha_1,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
166,Etha_2,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
167,Etha_3,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
168,SMM_1,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
169,SMM_2,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
170,SMM_3,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
171,Salt_1,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
172,Salt_2,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
173,Salt_3,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
174,Mt0_1,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
175,Mt0_2,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
176,Mt0_3,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
177,M0t45_1,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
178,M0t45_2,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
179,M0t45_3,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
180,M0t90_1,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
181,M0t90_2,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
182,M0t90_3,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
183,M40t45_1,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
