gene_name	regulator	sign	mechanism
rplD	stringent response	-1	unk
lysA	sigG	1	sigma factor
lysA	sigA	1	sigma factor
lysA	spoVT	1	TF
lysA	L-box-LYS	1	riboswitch
mrnC	sigA	1	sigma factor
mrnC	T-box-CYS	1	RNA switch
yobO	sigH	1	sigma factor
yobO	ccpA	-1	TF+PP+M
yobO	abrB	-1	TF
hisD	hisR	0	silico-TF+M
qoxD	stringent response	-1	unk
rpmEA	stringent response	-1	unk
yneE	spo0A	1	TF+PP
yneE	lexA	0	TF-proteolyse
yabP	sigE	1	sigma factor
yabP	sigX	1	sigma factor
yabP	sigW	1	sigma factor
yabP	spoIIID	-1	TF
cspR	sigE	1	sigma factor
yqaG	sknR	-1	TF
ligA	lexA	-1	TF-proteolyse
katE	sigB	1	sigma factor
ydfF	ydfF	0	silico-TF+unk
bglS	sigA	1	sigma factor
bglS	licT	1	P-AT+PTS
bglS	ccpA	-1	TF+PP+M
bglS	degU	1	TF+TC
trpC	sigA	1	sigma factor
trpC	TRAP	-1	RNA-BAP
rnr	sigB	1	sigma factor
degS	sigA	1	sigma factor
metN	sigA	1	sigma factor
metN	S-box-SAM	-1	
metN	codY	1	TF+M
yvyF	sigD	1	sigma factor
yvyF	sigA	1	sigma factor
yvyF	comK	1	TF
ywkF	sigK	1	sigma factor
comFC	sigD	1	sigma factor
comFC	sigA	1	sigma factor
comFC	comK	1	TF
metI	sigA	1	sigma factor
metI	S-box-SAM	-1	
metI	codY	0	TF+M
ywzA	sigB	1	sigma factor
oppD	tnrA	1	TF+P+M
oppD	scoC	-1	TF
oppD	codY	0	TF+M
ypiA	sigE	1	sigma factor
ypiA	spoIIID	-1	TF
lipC	sigK	1	sigma factor
lipC	tnrA	1	TF+P+M
lipC	kipR	-1	TF+unk
ydeL	yhdI/YdeL	0	silico-TF+unk
amyD	ccpA	-1	TF+PP+M
amyD	msmR	0	silico-TF+M
dppB	sigA	1	sigma factor
dppB	codY	-1	TF+M
dppB	abrB	-1	TF
yxaJ	rok	-1	TF
yxaJ	abrB	-1	TF
ywbA	ccpA	0	TF+PP+M
ywbA	rbsR	0	silico-TF+M
yrkH	yrkD	0	silico-TF+unk
ylaB	ylaC	1	sigma factor
ylaB	sigA	1	sigma factor
ylaB	spx	1	TF+S
sdpB	spo0A	1	TF+PP
sdpB	rok	-1	TF
sdpB	abrB	-1	TF
fadA	sigA	1	sigma factor
fadA	sdpR	1	TF+P
fadA	fadR	-1	TF+M
fadA	ccpA	-1	TF+PP+M
csbC	sigB	1	sigma factor
yuiF	hisR	0	silico-TF+M
ywiE	sigB	1	sigma factor
csgA	sigG	1	sigma factor
csgA	spoVT	-1	TF
ymaD	sigE	1	sigma factor
yitT	sigB	1	sigma factor
yvrL	yvrI-YvrHa	1	sigma like factor
yisK	sigH	1	sigma factor
sigM	sigA	1	sigma factor
ylxX	sigM	1	sigma factor
ylxX	sigE	1	sigma factor
ylxX	sigA	1	sigma factor
ylxX	spoIIID	-1	TF
appA.1	scoC	-1	TF
appA.1	codY	-1	TF+M
appA.1	tnrA	0	TF+P+M
xpaC	sigW	1	sigma factor
ytbQ	birA	-1	TF+P+M
comK	sigA	1	sigma factor
comK	spo0A	1	TF+PP
comK	rok	-1	TF
comK	degU	1	TF+TC
comK	comK	1	TF
comK	codY	-1	TF+M
comK	abrB	-1	TF
comK	med	1	P
iolB	sigA	1	sigma factor
iolB	iolR	-1	TF+M
iolB	ccpA	-1	TF+PP+M
ykuN	sigA	1	sigma factor
ykuN	fur	-1	TF+M
frr	stringent response	-1	unk
patA	sigE	1	sigma factor
yrkN	yrkP	1	TF+TC
yraA	sigB	1	sigma factor
yraA	sigM	1	sigma factor
yraA	adhR	1	TF+S
scr	sigA	1	sigma factor
sipW	sigA	1	sigma factor
sipW	sinR	-1	TF
sipW	abrB	-1	TF
sipW	spo0A	1	TF+PP
racA	sigH	1	sigma factor
racA	spo0A	1	TF+PP
yozE	sigE	1	sigma factor
lplC	ccpA	0	TF+PP+M
yfkH	sigB	1	sigma factor
yfkH	sigA	1	sigma factor
yxkO	sigB	1	sigma factor
pheS	sigA	1	sigma factor
pheS	T-box-PHE	1	RNA switch
thiN	sigE	1	sigma factor
ybfI	ybfI	0	silico-TF+unk
spoVIF	sigK	1	sigma factor
spoVIF	gerR	1	TF
spoVIF	gerE	1	TF
ypbG	sigM	1	sigma factor
ypbG	sigK	1	sigma factor
ypbG	sigE	1	sigma factor
ypbG	spoIIID	-1	TF
yesQ	yesS	0	TF+P+unk
yesQ	ccpA	0	TF+PP+M
murQ	codY	0	TF+M
murQ	murR	0	silico-TF+M
stoA	sigE	1	sigma factor
stoA	sigG	1	sigma factor
stoA	spoIIID	-1	TF
yqcI	sigK	1	sigma factor
yclM	codY	-1	TF+M
yclM	Thrr	-1	TF
tpiA	sigA	1	sigma factor
tpiA	cggR	-1	TF+M
rsbU	sigB	1	sigma factor
rsbU	sigA	1	sigma factor
sspG	sigK	1	sigma factor
sspG	sigE	1	sigma factor
sspG	gerE	1	TF
aprE	sigA	1	sigma factor
aprE	sinR	-1	TF
aprE	scoC	-1	TF
aprE	abrB	-1	TF
aprE	tenA	1	unk
aprE	degU	1	TF+TC
pcrB	lexA	-1	TF-proteolyse
yufP	codY	-1	TF+M
yqzC	spo0A	-1	TF+PP
yvcI	ccpA	-1	TF+PP+M
nagBA	sigA	1	sigma factor
nagBA	nagR	-1	TF+M
nagBA	ccpA	-1	TF+PP+M
iseA	walR	-1	TF+TC
rpsNA	stringent response	-1	unk
rplQ	stringent response	-1	unk
epsN	sigA	1	sigma factor
epsN	sigH	1	sigma factor
epsN	sinR	-1	TF
epsN	eAR	0	RNA antiterminator
epsN	abrB	-1	TF
dhbC	sigA	1	sigma factor
dhbC	fur	-1	TF+M
dhbC	abrB	-1	TF
yvmB	ccpA	-1	TF+PP+M
pstBB	phoP	1	TF+TC
trpS	T-box-TRP	1	RNA switch
ylbO	sigE	1	sigma factor
ylbO	spoIIID	1	TF
groES	sigA	1	sigma factor
groES	hrcA	-1	TF+HrcA unstability
yraD	sigG	1	sigma factor
purK	sigA	1	sigma factor
purK	purR	-1	TF+M
purK	G-box-HXTX	1	riboswitch
purK	G-box-GUA	1	riboswitch
estA	abrB	-1	TF
estA	spoIIID	1	TF
yscB	sigD	1	sigma factor
yscB	abrB	-1	TF
yxbG	sigB	1	sigma factor
ytnL	sigA	1	sigma factor
ytnL	ytlI	1	TF+M
ytnL	cymR	-1	TF+P+M
ytnL	spx	-1	TF+S
sdhA	sigA	1	sigma factor
sdhA	fsrA	-1	small regulatory RNA
sdhA	ccpA	-1	TF+PP+M
yvaB	sigG	1	sigma factor
yvaB	mhqR	-1	TF+M
yvaB	spoVT	-1	TF
rpsL	stringent response	-1	unk
cdd	sigB	1	sigma factor
cdd	sigA	1	sigma factor
cdd	spo0A	1	TF+PP
leuD	sigA	1	sigma factor
leuD	tnrA	-1	TF+P+M
leuD	fsrA	-1	small regulatory RNA
leuD	codY	-1	TF+M
leuD	ccpA	1	TF+PP+M
leuD	T-box-LEU	1	RNA switch
bacB	sigH	1	sigma factor
bacB	scoC	-1	TF
bacB	codY	-1	TF+M
bacB	abrB	-1	TF
ylbQ	ccpA	0	TF+PP+M
yutH	sigE	1	sigma factor
yutH	sigF	1	sigma factor
yutH	spoIIID	-1	TF
yvrE	sigB	1	sigma factor
yvrO	comK	1	TF
yvrO	abrB	-1	TF
cspD	ccpA	0	TF+PP+M
adaA	sigA	1	sigma factor
adaA	adaA	1	TF+S
cwlS	sigH	1	sigma factor
cwlS	sigD	1	sigma factor
cwlS	ccpA	-1	TF+PP+M
cwlS	abrB	-1	TF
cwlS	abh	-1	TF
argJ	sigA	1	sigma factor
argJ	ahrC	-1	TF+M
argJ	abrB	1	TF
argJ	tnrA	0	TF+P+M
yteU	rmgR	0	silico-TF+M
leuB	sigA	1	sigma factor
leuB	tnrA	-1	TF+P+M
leuB	codY	-1	TF+M
leuB	ccpA	1	TF+PP+M
leuB	T-box-LEU	1	RNA switch
yuxK	sigA	1	sigma factor
yuxK	codY	0	TF+M
dctP	sigA	1	sigma factor
dctP	fsrA	-1	small regulatory RNA
dctP	ccpA	-1	TF+PP+M
dctP	dctR	1	TF+TC
ywaC	sigW	1	sigma factor
ywaC	sigM	1	sigma factor
sigL	ccpA	-1	TF+PP+M
abnB	sigH	1	sigma factor
abnB	ccpA	-1	TF+PP+M
yhaL	sigE	1	sigma factor
hom	codY	0	TF+M
ygaK	sigK	1	sigma factor
yllA	ccpA	0	TF+PP+M
yisN	sigF	1	sigma factor
rplU	stringent response	-1	unk
rplU	L21_leader	0	silico-RNA switch
cgeE	sigK	1	sigma factor
cgeE	gerE	1	TF
ymfD	sigG	1	sigma factor
ymfD	mta	1	TF+M
yqfA	sigW	1	sigma factor
lytH	sigK	1	sigma factor
patB	sigE	1	sigma factor
dps	sigB	1	sigma factor
rplGB	stringent response	-1	unk
argF	sigA	1	sigma factor
argF	ahrC	-1	TF+M
argF	abrB	1	TF
argF	tnrA	0	TF+P+M
metA	sigM	1	sigma factor
oxaAB	mifM	1	Translation regulation
spoIIIE	sigA	1	sigma factor
acuC	sigA	1	sigma factor
acuC	ccpA	-1	TF+PP+M
acuC	codY	0	TF+M
ybbH	codY	0	TF+M
ybbH	murR	0	silico-TF+M
ywsB	sigB	1	sigma factor
ykoU	sigG	1	sigma factor
ykoU	spoVT	1	TF
yvrA	RNA - Cobalamin	0	silico-riboswitch
csbX	sigG	1	sigma factor
csbX	sigF	1	sigma factor
csbX	sigB	1	sigma factor
csbX	ccpA	-1	TF+PP+M
csbX	spoVT	-1	TF
bdbB	yvrHb	1	TF+TC
bdbB	rok	-1	TF
bdbB	abrB	-1	TF
bdbB	abh	1	TF
ydaH	sigM	1	sigma factor
prfB	sigA	1	sigma factor
gltX	sigA	1	sigma factor
citT	ccpA	0	TF+PP+M
dhbB	sigA	1	sigma factor
dhbB	fur	-1	TF+M
dhbB	abrB	-1	TF
yolC	lexA	-1	TF-proteolyse
yolC	abrB	-1	TF
nadC	sigA	1	sigma factor
nadC	nadR	-1	TF+M
yodR	sigE	1	sigma factor
yokI	abrB	-1	TF
yodT	sigE	1	sigma factor
ysnB	sigG	1	sigma factor
flhP	sigD	1	sigma factor
flhP	sigE	1	sigma factor
flhP	stringent response	-1	unk
yxaH	qdor	-1	TF+M
yxaH	lmrA	-1	TF+M
ywcE	abrB	-1	TF
yvlB	sigW	1	sigma factor
yvlB	abrB	-1	TF
yqfZ	sigE	1	sigma factor
yqfZ	spoIIID	-1	TF
rpsE	stringent response	-1	unk
yhfQ	fur	-1	TF+M
ansR	ansR	-1	TF+M
ydbN	fur	-1	TF+M
iolF	sigA	1	sigma factor
iolF	iolR	-1	TF+M
iolF	ccpA	-1	TF+PP+M
yteS	rmgR	0	silico-TF+M
spoIIM	sigE	1	sigma factor
spoIIM	gerR	-1	TF
spoIIM	gerE	-1	TF
hisA	hisR	0	silico-TF+M
ptsI	sigA	1	sigma factor
ptsI	stringent response	-1	unk
ptsI	glcT	1	P-AT+PTS
leuA	sigA	1	sigma factor
leuA	tnrA	-1	TF+P+M
leuA	codY	-1	TF+M
leuA	ccpA	1	TF+PP+M
leuA	T-box-LEU	1	RNA switch
rok	spo0A	-1	TF+PP
rok	sinR	-1	TF
rok	rok	-1	TF
rok	abrB	-1	TF
rok	comK	-1	TF
rok	codY	0	TF+M
radA	sigF	1	sigma factor
radA	sigB	1	sigma factor
radA	sigA	1	sigma factor
radA	ctsR	-1	TF+unstability
opuBD	sigA	1	sigma factor
opuBD	gbsR	-1	TF+M
opuBD	codY	0	TF+M
opuBD	yvbF/YvaV	0	silico-TF+unk
ymdB	sigK	1	sigma factor
trpA	sigA	1	sigma factor
trpA	TRAP	-1	RNA-BAP
yoaN	sigK	1	sigma factor
yoaN	gerE	-1	TF
kinE	sigH	1	sigma factor
kinE	sigA	1	sigma factor
kinE	codY	0	TF+M
yrkP	yrkP	1	TF+TC
gabP	sigA	1	sigma factor
gabP	tnrA	1	TF+P+M
gabP	codY	-1	TF+M
nasF	sigA	1	sigma factor
nasF	tnrA	1	TF+P+M
nasF	resD	1	TF+TC
nasF	nsrR	-1	TF+M
nasF	fur	-1	TF+M
nasF	glnR	-1	TF+P+M
nasF	arfM	0	TF
nasF	codY	0	TF+M
ydbT	sigW	1	sigma factor
asnO	sigE	1	sigma factor
asnO	sigK	1	sigma factor
asnO	spoIIID	1	TF
mleA	ccpA	-1	TF+PP+M
mleA	ansR	-1	TF+M
yodQ	sigE	1	sigma factor
proA	T-box-PRO	1	RNA switch
ydgH	lexA	-1	TF-proteolyse
menE	sigA	1	sigma factor
ykzB	sigA	1	sigma factor
ykzB	tnrA	1	TF+P+M
ykzB	phoP	1	TF+TC
yqaF	sknR	-1	TF
ydbI	sigE	1	sigma factor
ydbI	spoIIID	-1	TF
ydbI	rex	0	TF+M
cspB	sigA	1	sigma factor
cspB	comK	0	TF
araM	sigA	1	sigma factor
araM	ccpA	-1	TF+PP+M
araM	araR	-1	TF+M
exlX	fur	-1	TF+M
yacP	sigA	1	sigma factor
yacP	T-box-CYS	1	RNA switch
sspO	sigG	1	sigma factor
sspO	spoVT	1	TF
sspO	codY	0	TF+M
yrhC	sigK	1	sigma factor
yrhC	sigA	1	sigma factor
yrhC	spx	1	TF+S
yrhC	cymR	-1	TF+P+M
ybbF	codY	0	TF+M
ybbF	murR	0	silico-TF+M
yacL	sigM	1	sigma factor
yacL	sigB	1	sigma factor
acuA	sigA	1	sigma factor
acuA	ccpA	-1	TF+PP+M
acuA	codY	0	TF+M
yrdK	azlB	-1	TF+unk
yoaC	S-box-SAM	-1	
hisG	hisR	0	silico-TF+M
copZ	csoR	-1	TF+M
yxnA	sigB	1	sigma factor
kapB	sigA	1	sigma factor
kapB	stringent response	1	unk
kapB	codY	-1	TF+M
kapB	abrB	-1	TF
lplD	ccpA	0	TF+PP+M
ydjM	walR	1	TF+TC
ydjM	phoP	1	TF+TC
ynaD	sigH	1	sigma factor
parE	lexA	-1	TF-proteolyse
gerE	sigK	1	sigma factor
gerE	spoIIID	1	TF
queC	preQ1 riboswitch	-1	riboswitch
ysdA	sigA	1	sigma factor
ysdA	stringent response	-1	unk
ysdA	rplT	-1	RNA switch
tyrZ	T-box-TYR	1	RNA switch
yyaS	yybA	0	silico-TF+unk
yufN	codY	-1	TF+M
albC	sigA	1	sigma factor
albC	rok	-1	TF
albC	resD	1	TF+TC
albC	abrB	-1	TF
xynB	sigA	1	sigma factor
xynB	xylR	-1	TF+M
xynB	ccpA	-1	TF+PP+M
comGC	sigA	1	sigma factor
comGC	comK	1	TF
comGC	comZ	-1	TF
yppF	codY	0	TF+M
yxeK	sigA	1	sigma factor
yxeK	cymR	-1	TF+P+M
yxeK	spx	-1	TF+S
yitH	S-box-SAM	-1	
glsA	sigA	1	sigma factor
glsA	glnL	1	TF+TC
glsA	ccpA	0	TF+PP+M
ycbG	ycbG	-1	TF+M
ispF	sigM	1	sigma factor
ispF	sigB	1	sigma factor
sunA	yvrHb	1	TF+TC
sunA	rok	-1	TF
sunA	abrB	-1	TF
sunA	abh	1	TF
purE	sigA	1	sigma factor
purE	purR	-1	TF+M
purE	G-box-HXTX	1	riboswitch
purE	G-box-GUA	1	riboswitch
gbsA	gbsR	-1	TF+M
ydfJ	sigA	1	sigma factor
ydfJ	ydfI	1	TF+TC
mntC	mntR	-1	TF+M
ycnI	ycnK	-1	TF+M
dltB	sigX	1	sigma factor
dltB	sigM	1	sigma factor
dltB	sigD	1	sigma factor
dltB	yvrHb	1	TF+TC
dltB	stringent response	-1	unk
dltB	spo0A	-1	TF+PP
yorB	lexA	-1	TF-proteolyse
trxB	spx	1	TF+S
yydI	sigA	1	sigma factor
yydI	rok	-1	TF
yydI	abrB	-1	TF
yozF	sigG	1	sigma factor
metC	sigA	1	sigma factor
metC	S-box-SAM	-1	
metC	codY	0	TF+M
gntR	sigA	1	sigma factor
gntR	sigK	1	sigma factor
gntR	gntR	-1	TF+M
gntR	ccpA	-1	TF+PP+M
gntR	abrB	1	TF
gntR	ccpB	-1	TF+unk
flgB	sigD	1	sigma factor
flgB	sigA	1	sigma factor
flgB	spo0A	-1	TF+PP
flgB	codY	-1	TF+M
sbp	sigM	1	sigma factor
sbp	sigE	1	sigma factor
sbp	sigA	1	sigma factor
sbp	spoIIID	-1	TF
sbp	gerR	-1	TF
yoaH	sigD	1	sigma factor
ysfB	sigG	1	sigma factor
ywdL	sigE	1	sigma factor
yycC	tnrA	-1	TF+P+M
yckC	sigE	1	sigma factor
ssbB	comK	1	TF
mtlR	ccpA	-1	TF+PP+M
mtlR	mtlR	0	TF+PTS
ptb	sigL	1	sigma factor
ptb	codY	-1	TF+M
ptb	bkdR	1	TF+M
ptb	tnrA	-1	TF+P+M
yfnD	sigK	1	sigma factor
yfnD	sigE	1	sigma factor
yfnD	gerR	-1	TF
levR	sigL	1	sigma factor
levR	levR	1	TF+PTS
levR	ccpA	-1	TF+PP+M
ylmC	sigE	1	sigma factor
ylmC	spoIIID	-1	TF
sspM	sigG	1	sigma factor
fliM	sigD	1	sigma factor
fliM	sigA	1	sigma factor
fliM	spo0A	-1	TF+PP
fliM	codY	-1	TF+M
srfAC	sigA	1	sigma factor
srfAC	spx	-1	TF+S
srfAC	perR	1	TF+S
srfAC	comA	1	TF+TC
srfAC	codY	-1	TF+M
srfAC	abh	-1	TF
rbsB	sigA	1	sigma factor
rbsB	ccpA	-1	TF+PP+M
rbsB	abrB	1	TF
rbsB	rbsR	0	silico-TF+M
yraE	sigG	1	sigma factor
yqxJ	spo0A	1	TF+PP
yqxJ	abrB	-1	TF
yvrB	RNA - Cobalamin	0	silico-riboswitch
qcrB	resD	1	TF+TC
qcrB	abrB	-1	TF
qcrB	ccpA	-1	TF+PP+M
tlpA	sigD	1	sigma factor
tlpA	abrB	-1	TF
xsa	sigA	1	sigma factor
xsa	ccpA	-1	TF+PP+M
xsa	araR	-1	TF+M
yveF	padR	-1	TF+M
yqcF	spo0A	1	TF+PP
ywkB	sigA	1	sigma factor
ywkB	malR	1	TF+TC
ytcD	ytcD	0	silico-TF+unk
resD	sigA	1	sigma factor
resD	resD	1	TF+TC
resD	phoP	1	TF+TC
resD	ccpA	-1	TF+PP+M
yugJ	spx	1	TF+S
nrdI	sigA	1	sigma factor
nrdI	resD	1	TF+TC
nrdI	nrdR	0	silico-TF+M
yfhS	sigE	1	sigma factor
yfhS	sigG	1	sigma factor
yfhS	sigA	1	sigma factor
yfhS	yfhP	-1	unk
yfhS	spoVT	-1	TF
yfhS	rsfA	1	P
ybfP	sigW	1	sigma factor
ybfP	abrB	-1	TF
iolJ	sigA	1	sigma factor
iolJ	iolR	-1	TF+M
iolJ	ccpA	-1	TF+PP+M
yrkE	yrkD	0	silico-TF+unk
pbpX	sigX	1	sigma factor
pbpX	sigM	1	sigma factor
pbpX	sigW	1	sigma factor
pbpX	lexA	0	TF-proteolyse
frlM	frlR	-1	TF+M
frlM	codY	-1	TF+M
yqgY	ccpA	0	TF+PP+M
yezD	cymR	-1	TF+P+M
ycgM	sigE	1	sigma factor
ycgM	spo0A	1	TF+PP
ycgM	putR	1	TF+M
ycgM	codY	-1	TF+M
ycgM	spoIIID	1	TF
ycgM	ccpA	-1	TF+PP+M
yveG	padR	-1	TF+M
ganR	lacR	0	TF+M
yybI	sigE	1	sigma factor
ydjO	sigW	1	sigma factor
ydjO	sigE	1	sigma factor
abnA	sigA	1	sigma factor
abnA	ccpA	-1	TF+PP+M
abnA	araR	-1	TF+M
rapF	sigH	1	sigma factor
rapF	comA	1	TF+TC
rapF	ccpA	-1	TF+PP+M
yolB	abrB	-1	TF
yngHB	sigE	1	sigma factor
yngHB	spoIIID	-1	TF
yngHB	ccpA	0	TF+PP+M
yocM	sigE	1	sigma factor
lpdV	sigL	1	sigma factor
lpdV	codY	-1	TF+M
lpdV	bkdR	1	TF+M
lpdV	tnrA	-1	TF+P+M
ytfJ	sigF	1	sigma factor
narI	sigA	1	sigma factor
narI	fnr	1	TF+M
gcvPB	Gly-box	-1	riboswitch
gcvPB	spoVT	1	TF
gcvPB	T-box-GLY	-1	RNA switch
ycgN	sigE	1	sigma factor
ycgN	spo0A	1	TF+PP
ycgN	putR	1	TF+M
ycgN	codY	-1	TF+M
ycgN	spoIIID	1	TF
ycgN	ccpA	-1	TF+PP+M
rplF	stringent response	-1	unk
yopL	ccpA	-1	TF+PP+M
dacC	sigH	1	sigma factor
dacC	sigB	1	sigma factor
bacC	sigH	1	sigma factor
bacC	scoC	-1	TF
bacC	codY	-1	TF+M
bacC	abrB	-1	TF
ycxC	ycxD	0	silico-TF+unk
ctaD	sigA	1	sigma factor
ctaD	resD	1	TF+TC
ctaD	ccpA	-1	TF+PP+M
ctaD	abrB	-1	TF
ctaD	abh	-1	TF
ctrA	codY	-1	TF+M
kinB	sigA	1	sigma factor
kinB	stringent response	1	unk
kinB	codY	-1	TF+M
kinB	abrB	-1	TF
yhbJ	sigG	1	sigma factor
yhbJ	comK	1	TF
yusE	spo0A	1	TF+PP
ysnF	sigB	1	sigma factor
yjfB	sigD	1	sigma factor
kamA	sigE	1	sigma factor
yesX	yesS	1	TF+P+unk
yesX	ccpA	0	TF+PP+M
sdpA	spo0A	1	TF+PP
sdpA	rok	-1	TF
sdpA	abrB	-1	TF
yngE	sigE	1	sigma factor
yngE	spoIIID	-1	TF
yngE	ccpA	0	TF+PP+M
spsA	sigK	1	sigma factor
yozN	sigE	1	sigma factor
rsiX	sigX	1	sigma factor
rsiX	sigA	1	sigma factor
rsiX	yvrHb	1	TF+TC
yndF	sigG	1	sigma factor
yndF	spoVT	-1	TF
spoIIGA	sigG	1	sigma factor
spoIIGA	sigF	1	sigma factor
spoIIGA	sigA	1	sigma factor
spoIIGA	spo0A	1	TF+PP
spoIIGA	sinR	-1	TF
spoIIGA	spoVT	-1	TF
spoIIGA	rsfA	1	P
spsF	sigK	1	sigma factor
ccpN	yqfL	-1	unk
epsD	sigA	1	sigma factor
epsD	sigH	1	sigma factor
epsD	sinR	-1	TF
epsD	eAR	0	RNA antiterminator
epsD	abrB	-1	TF
menB	sigA	1	sigma factor
mmgA	sigE	1	sigma factor
mmgA	ccpA	-1	TF+PP+M
mmgA	spoIIID	-1	TF
ybfJ	sigE	1	sigma factor
accA	spo0A	1	TF+PP
yqhG	sigF	1	sigma factor
yqhG	lexA	0	TF-proteolyse
ypbR	fur	-1	TF+M
ypiF	sigH	1	sigma factor
ypiF	ccpA	-1	TF+PP+M
mreD	sigM	1	sigma factor
mreD	sigH	1	sigma factor
yphE	abrB	-1	TF
lmrB	sigA	1	sigma factor
lmrB	lmrA	-1	TF+M
lmrB	qdor	0	TF+M
gcaD	sigA	1	sigma factor
gcaD	stringent response	-1	unk
thiX	sigK	1	sigma factor
thiX	Thi-box	-1	riboswitch
yueE	sigK	1	sigma factor
jag	sigA	1	sigma factor
metE	sigA	1	sigma factor
metE	S-box-SAM	-1	
ypqP.1	sigK	1	sigma factor
rapC	sigA	1	sigma factor
rapC	sigH	1	sigma factor
rapC	comA	1	TF+TC
rapC	codY	-1	TF+M
ydaB	tnrA	0	TF+P+M
yjzE	sigB	1	sigma factor
cydD	sigA	1	sigma factor
cydD	rex	-1	TF+M
cydD	resD	1	TF+TC
cydD	ccpA	-1	TF+PP+M
xylA	sigA	1	sigma factor
xylA	xylR	-1	TF+M
xylA	ccpA	-1	TF+PP+M
xylA	ccpB	-1	TF+unk
ylxP	sigB	1	sigma factor
ylxP	sigA	1	sigma factor
ylxP	stringent response	-1	unk
ymfI	sigK	1	sigma factor
ydeC	sigB	1	sigma factor
lysS	sigA	1	sigma factor
sinI	sigA	1	sigma factor
sinI	sigH	1	sigma factor
sinI	spo0A	-1	TF+PP
sinI	scoC	-1	TF
sinI	abrB	-1	TF
sinI	sinR	-1	TF
sqhC	sigE	1	sigma factor
spoIVCB	sigK	1	sigma factor
spoIVCB	sigE	1	sigma factor
spoIVCB	spoIIID	1	TF
spoIVCB	gerE	-1	TF
tpx	spx	1	TF+S
yphF	abrB	-1	TF
etfB	sigA	1	sigma factor
etfB	fadR	-1	TF+M
etfB	ccpA	-1	TF+PP+M
appC	scoC	-1	TF
appC	codY	-1	TF+M
appC	tnrA	0	TF+P+M
yncM	abrB	-1	TF
ykzE	spoVT	1	TF
yhaR	sigH	1	sigma factor
yhaR	ccpA	-1	TF+PP+M
rpsP	stringent response	-1	unk
rapA	sigA	1	sigma factor
rapA	spo0A	-1	TF+PP
rapA	comA	1	TF+TC
rapA	codY	-1	TF+M
xre	xre	-1	TF
sspE	sigE	1	sigma factor
sspE	sigG	1	sigma factor
sspE	sigA	1	sigma factor
sspE	yfhP	-1	unk
sspE	spoVT	-1	TF
sspE	rsfA	1	P
yydG	sigA	1	sigma factor
yydG	abrB	-1	TF
yydG	rok	-1	TF
sunT	yvrHb	1	TF+TC
sunT	rok	-1	TF
sunT	abrB	-1	TF
sunT	abh	1	TF
bkdB	sigL	1	sigma factor
bkdB	codY	-1	TF+M
bkdB	bkdR	1	TF+M
bkdB	tnrA	-1	TF+P+M
spsD	sigK	1	sigma factor
yycP	sigK	1	sigma factor
yycP	sigE	1	sigma factor
yycP	phoP	1	TF+TC
iolI	sigA	1	sigma factor
iolI	iolR	-1	TF+M
iolI	ccpA	-1	TF+PP+M
yitI	S-box-SAM	-1	
ytlD	sigK	1	sigma factor
xtmB	xpf	1	sigma factor
ccdA	sigA	1	sigma factor
ccdA	sigH	1	sigma factor
ybdO	sigD	1	sigma factor
