Name,Locus_tag,StartV3,EndV3,Strand,classif
S31,S31,new_53363_55717_c,53363,55717,-1,indep-Ext
ispE,ispE,BSU00460,53516,54385,1,-
purR,purR,BSU00470,54441,55298,1,-
yabJ,yabJ,BSU00480,55295,55672,1,-
S32,S32,new_55707_55815,55707,55815,1,inter
spoVG,spoVG,BSU00490,55866,56159,1,-
S33,S33,new_56193_56304,56193,56304,1,inter
gcaD,gcaD,BSU00500,56352,57722,1,-
prs,prs,BSU00510,57745,58698,1,-
ctc,ctc,BSU00520,58783,59397,1,-
pth,pth,BSU00530,59504,60070,1,-
yabK,yabK,BSU00540,60130,60360,1,-
S34,S34,new_60361_60429,60361,60429,1,intra
mfd,mfd,BSU00550,60430,63963,1,-
S35,S35,new_64001_64098,64001,64098,1,5'
spoVT,spoVT,BSU00560,64099,64635,1,-
yabM,yabM,BSU00570,64817,66415,1,-
yabN,yabN,BSU00580,66405,67874,1,-
yabO,yabO,BSU00590,67877,68137,1,-
yabP,yabP,BSU00600,68216,68518,1,-
yabQ,yabQ,BSU00610,68515,69150,1,-
divIC,divIC,BSU00620,69168,69545,1,-
yabR,yabR,BSU00630,69626,70012,1,-
S36,S36,new_70382_70493,70382,70493,1,inter
spoIIE,spoIIE,BSU00640,70538,73021,1,-
S37,S37,new_71190_71799_c,71190,71799,-1,indep
yabS,yabS,BSU00650,73106,73843,1,-
yabT,yabT,BSU00660,73809,74825,1,-
tilS,tilS,BSU00670,74929,76347,1,-
hprT,hprT,BSU00680,76344,76886,1,-
S38,S38,new_76887_76983,76887,76983,1,intra
ftsH,ftsH,BSU00690,76984,78897,1,-
S39,S39,new_78940_79025,78940,79025,1,inter
S40,S40,new_79027_79091,79027,79091,1,5'
coaX,coaX,BSU00700,79092,79868,1,-
hslO,hslO,BSU00710,79880,80755,1,-
yacD,yacD,BSU00720,80802,81695,1,-
cysK,cysK,BSU00730,81771,82697,1,-
pabB,pabB,BSU00740,82864,84276,1,-
pabA,pabA,BSU00750,84290,84874,1,-
pabC,pabC,BSU00760,84874,85755,1,-
sul,sul,BSU00770,85737,86594,1,-
folB,folB,BSU00780,86587,86949,1,-
folK,folK,BSU00790,86946,87449,1,-
yazB,yazB,BSU00800,87401,87610,1,-
dusB,dusB,BSU00810,87634,88635,1,-
S41,S41,new_88050_89566_c,88050,89566,-1,indep-Ext
S42,S42,new_88636_88726,88636,88726,1,intra
lysS,lysS,BSU00820,88727,90226,1,-
S43,S43,new_90318_90535,90318,90535,1,5'
S44,S44,new_101212_101289,101212,101289,1,inter
ctsR,ctsR,BSU00830,101449,101913,1,-
mcsA,mcsA,BSU00840,101927,102484,1,-
mcsB,mcsB,BSU00850,102484,103575,1,-
clpC,clpC,BSU00860,103572,106004,1,-
radA,radA,BSU00870,106096,107472,1,-
disA,disA,BSU00880,107476,108558,1,-
S45,S45,new_108559_108673,108559,108673,1,intra
yacL,yacL,BSU00890,108674,109774,1,-
ispD,ispD,BSU00900,109789,110487,1,-
ispF,ispF,BSU00910,110480,110956,1,-
gltX,gltX,BSU00920,111047,112498,1,-
S46,S46,new_112499_112799,112499,112799,1,intra
cysE,cysE,BSU00930,112800,113453,1,-
cysS,cysS,BSU00940,113450,114850,1,-
mrnC,mrnC,BSU00950,114854,115285,1,-
rlmB,rlmB,BSU00960,115269,116018,1,-
yacP,yacP,BSU00970,116025,116537,1,-
sigH,sigH,BSU00980,116600,117256,1,-
S47,S47,new_117257_117348,117257,117348,1,intra
rpmGB,rpmGB,BSU00990,117349,117498,1,-
secE,secE,BSU01000,117532,117711,1,-
S48,S48,new_117712_117889,117712,117889,1,intra
nusG,nusG,BSU01010,117890,118423,1,-
S49,S49,new_118452_118590,118452,118590,1,5'
rplK,rplK,BSU01020,118591,119016,1,-
S50,S50,new_119017_119110,119017,119110,1,intra
rplA,rplA,BSU01030,119111,119809,1,-
X.1,NA,BSU_misc_RNA_3,119855,119995,1,-
rplJ,rplJ,BSU01040,120061,120561,1,-
rplL,rplL,BSU01050,120607,120978,1,-
ybxB,ybxB,BSU01060,121068,121673,1,-
S51,S51,new_121686_121918,121686,121918,1,5'
rpoB,rpoB,BSU01070,121919,125500,1,-
rpoC,rpoC,BSU01080,125562,129161,1,-
S52,S52,new_129162_129283,129162,129283,1,inter
rplGB,rplGB,BSU01090,129340,129588,1,-
S53,S53,new_129589_129701,129589,129701,1,intra
rpsL,rpsL,BSU01100,129702,130118,1,-
rpsG,rpsG,BSU01110,130160,130630,1,-
fusA,fusA,BSU01120,130684,132762,1,-
S54,S54,new_132763_132881,132763,132881,1,intra
tufA,tufA,BSU01130,132882,134072,1,-
ybaC,ybaC,BSU01140,134171,135127,1,-
S55,S55,new_135170_135363,135170,135363,1,5'
rpsJ,rpsJ,BSU01150,135364,135672,1,-
rplC,rplC,BSU01160,135712,136341,1,-
rplD,rplD,BSU01170,136369,136992,1,-
rplW,rplW,BSU01180,136992,137279,1,-
rplB,rplB,BSU01190,137311,138144,1,-
rpsS,rpsS,BSU01200,138202,138480,1,-
rplV,rplV,BSU01210,138497,138838,1,-
rpsC,rpsC,BSU01220,138842,139498,1,-
rplP,rplP,BSU01230,139500,139934,1,-
rpmC,rpmC,BSU01240,139924,140124,1,-
rpsQ,rpsQ,BSU01250,140147,140410,1,-
rplNA,rplNA,BSU01260,140451,140819,1,-
rplX,rplX,BSU01270,140857,141168,1,-
rplE,rplE,BSU01280,141195,141734,1,-
rpsNA,rpsNA,BSU01290,141757,141942,1,-
rpsH,rpsH,BSU01300,141974,142372,1,-
rplF,rplF,BSU01310,142402,142941,1,-
rplR,rplR,BSU01320,142974,143336,1,-
rpsE,rpsE,BSU01330,143361,143861,1,-
rpmD,rpmD,BSU01340,143875,144054,1,-
rplO,rplO,BSU01350,144085,144525,1,-
secY,secY,BSU01360,144527,145822,1,-
adk,adk,BSU01370,145877,146530,1,-
mapA,mapA,BSU01380,146527,147273,1,-
ybzG,ybzG,BSU01389,147312,147536,1,-
infA,infA,BSU01390,147585,147803,1,-
rpmJ,rpmJ,BSU01400,147837,147950,1,-
rpsM,rpsM,BSU01410,147973,148338,1,-
rpsK,rpsK,BSU01420,148359,148754,1,-
S56,S56,new_148755_148930,148755,148930,1,intra
rpoA,rpoA,BSU01430,148931,149875,1,-
rplQ,rplQ,BSU01440,149953,150315,1,-
S57,S57,new_150362_150442,150362,150442,1,inter
ybxA,ybxA,BSU01450,150443,151288,1,-
ybaE,ybaE,BSU01460,151303,152133,1,-
ybaF,ybaF,BSU01470,152130,152927,1,-
truA,truA,BSU01480,152937,153680,1,-
S58,S58,new_153039_153507_c,153039,153507,-1,indep-Ext
rplM,rplM,BSU01490,153842,154279,1,-
rpsI,rpsI,BSU01500,154300,154692,1,-
S59,S59,new_154838_155119,154838,155119,1,5'
ybaJ,ybaJ,BSU01510,155156,155923,1,-
ybaK,ybaK,BSU01520,156109,156552,1,-
cwlD,cwlD,BSU01530,156612,157325,1,-
salA,salA,BSU01540,157421,158479,1,-
S60,S60,new_158050_158514_c,158050,158514,-1,3'Ext
S61,S61,new_158510_159181,158510,159181,1,inter
gerD,gerD,BSU01550,158515,159072,-1,-
S62,S62,new_159149_159778_c,159149,159778,-1,3'Ext
kbaA,kbaA,BSU01560,159182,159778,1,-
ybaN,ybaN,BSU01570,159779,160543,-1,-
S63,S63,new_159779_160673,159779,160673,1,inter
S64,S64,new_160675_160892,160675,160892,1,5'
trnI.Thr,trnI-Thr,BSU_tRNA_24,165830,165902,1,-
S65,S65,new_176316_176924,176316,176924,1,inter
S66,S66,new_176926_177082,176926,177082,1,5'
ybaR,ybaR,BSU01580,177083,178519,1,-
ybaS,ybaS,BSU01590,178665,179585,1,-
ybbA,ybbA,BSU01600,179595,180347,-1,-
feuC,feuC,BSU01610,180344,181354,-1,-
feuB,feuB,BSU01620,181347,182351,-1,-
feuA,feuA,BSU01630,182370,183323,-1,-
ybbB,ybbB,BSU01640,183414,185003,-1,-
ybbC,ybbC,BSU01650,185194,186438,-1,-
ybbD,ybbD,BSU01660,186452,188380,-1,-
ybbE,ybbE,BSU01670,188408,189733,-1,-
ybbF,ybbF,BSU01680,189790,191157,-1,-
ybbH,ybbH,BSU01690,191183,192034,-1,-
murQ,murQ,BSU01700,192051,192965,-1,-
ybbJ,ybbJ,BSU01710,193075,193557,-1,-
ybbK,ybbK,BSU01720,193570,194025,-1,-
S67,S67,new_194669_194786,194669,194786,1,inter
sigW,sigW,BSU01730,194849,195412,1,-
rsiW,rsiW,BSU01740,195426,196052,1,-
S68,S68,new_196132_196212,196132,196212,1,5'
ybbP,ybbP,BSU01750,196213,197034,1,-
ybbR,ybbR,BSU01760,197027,198478,1,-
glmM,glmM,BSU01770,198497,199843,1,-
S69,S69,new_200188_200276,200188,200276,1,intra
glmS,glmS,BSU01780,200277,202079,1,-
S70,S70,new_201802_202546_c,201802,202546,-1,3'Ext
alkA,alkA,BSU01800,202547,203458,-1,-
adaA,adaA,BSU01810,203729,204364,1,-
adaB,adaB,BSU01820,204351,204890,1,-
S71,S71,new_204891_204975,204891,204975,1,inter
S72,S72,new_204977_205210,204977,205210,1,indep
S73,S73,new_205212_205408,205212,205408,1,inter
ndhF,ndhF,BSU01830,205409,206926,1,-
ybcC,ybcC,BSU01845,206941,209556,1,-
S74,S74,new_209557_209632,209557,209632,1,intra
ybcF,ybcF,BSU01860,209633,210160,1,-
ybcH,ybcH,BSU01870,210224,210514,1,-
ybcI,ybcI,BSU01880,210572,210946,1,-
S75,S75,new_210947_211412,210947,211412,1,inter
ybzH,ybzH,BSU01889,211429,211731,1,-
S76,S76,new_211769_211858,211769,211858,1,inter
ybcL,ybcL,BSU01890,211859,213031,1,-
ybcM,ybcM,BSU01900,213155,213469,1,-
S77,S77,new_213878_213940,213878,213940,1,5'
skfA,skfA,BSU01910,213941,214108,1,-
skfB,skfB,BSU01920,214175,215407,1,-
skfC,skfC,BSU01935,215404,216894,1,-
skfE,skfE,BSU01950,216913,217632,1,-
skfF,skfF,BSU01960,217697,219040,1,-
skfG,skfG,BSU01970,219087,219602,1,-
skfH,skfH,BSU01980,219607,220032,1,-
S78,S78,new_220033_220103,220033,220103,1,3'UTR
S79,S79,new_220105_220278,220105,220278,1,inter
ybdG,ybdG,BSU01990,220279,221256,1,-
ybdJ,ybdJ,BSU02000,221258,221929,1,-
ybdK,ybdK,BSU02010,221950,222912,1,-
ybzI,ybzI,BSU02019,222971,223234,1,-
ybdM,ybdM,BSU02030,223219,223989,-1,-
ybdN,ybdN,BSU02040,224075,224932,-1,-
ybdO,ybdO,BSU02050,225064,226248,1,-
S80,S80,new_226436_226565,226436,226565,1,5'
ybxG,ybxG,BSU02060,226566,227954,1,-
csgA,csgA,BSU02070,228066,228314,1,-
ybxH,ybxH,BSU02080,228331,228522,1,-
ybxI,ybxI,BSU02090,228549,229352,-1,-
cypC,cypC,BSU02100,229525,230778,1,-
ybyB,ybyB,BSU02110,230819,231079,-1,-
ybeC,ybeC,BSU02120,231348,232967,1,-
glpQ,glpQ,BSU02130,233014,233895,-1,-
glpT,glpT,BSU02140,233994,235328,-1,-
S81,S81,new_234998_235624,234998,235624,1,indep
S82,S82,new_235329_235401_c,235329,235401,-1,5'
S83,S83,new_235403_235489_c,235403,235489,-1,5'
ybeF,ybeF,BSU02150,235625,235873,1,-
ybfA,ybfA,BSU02160,235965,236882,1,-
ybfB,ybfB,BSU02170,236879,238129,1,-
ybfE,ybfE,BSU02180,238164,238448,-1,-
S84,S84,new_238449_238569_c,238449,238569,-1,5'
S85,S85,new_238571_238643_c,238571,238643,-1,inter
ybfF,ybfF,BSU02190,238644,239555,-1,-
S86,S86,new_239556_239643_c,239556,239643,-1,intra
ybfG,ybfG,BSU02200,239644,241842,-1,-
ybfH,ybfH,BSU02210,241917,242837,-1,-
ybfI,ybfI,BSU02220,242834,243661,-1,-
purT,purT,BSU02230,243892,245046,1,-
mpr,mpr,BSU02240,245190,246131,1,-
ybfJ,ybfJ,BSU02250,246094,246492,1,-
S87,S87,new_246583_246657,246583,246657,1,5'
ybfK,ybfK,BSU02260,246658,247548,1,-
S88,S88,new_247549_247743,247549,247743,1,intra
pssA,pssA,BSU02270,247744,248277,1,-
ybfM,ybfM,BSU02280,248268,248756,1,-
psd,psd,BSU02290,248749,249540,1,-
ybfN,ybfN,BSU02300,249595,249873,1,-
ybfO,ybfO,BSU02310,249979,251319,1,-
ybfP,ybfP,BSU02320,251427,252314,1,-
S89,S89,new_252315_252458,252315,252458,1,inter
ybfQ,ybfQ,BSU02330,252514,253482,1,-
gltP,gltP,BSU02340,253518,254762,-1,-
nagP,nagP,BSU02350,254907,256802,-1,-
nagBB,nagBB,BSU02360,256823,257572,-1,-
S90,S90,new_257545_257726,257545,257726,1,5'
S91,S91,new_257573_257643_c,257573,257643,-1,5'
ybgA,ybgA,BSU02370,257791,258498,1,-
ybgB,ybgB,BSU02380,258532,258807,1,-
S92,S92,new_258887_259015,258887,259015,1,5'
ilvE,ilvE,BSU02390,259016,260086,1,-
ybgF,ybgF,BSU02400,260123,261535,-1,-
S93,S93,new_261536_261647_c,261536,261647,-1,5'
ybgG,ybgG,BSU02410,261656,262603,-1,-
glnT,glnT,BSU02420,262732,264168,-1,-
glsA,glsA,BSU02430,264191,265174,-1,-
glnJ,glnJ,BSU02440,265476,266708,1,-
glnL,glnL,BSU02450,266719,267663,1,-
S94,S94,new_267772_267889,267772,267889,1,5'
ycbC,ycbC,BSU02460,267890,268816,1,-
ycbD,ycbD,BSU02470,268846,270312,1,-
gudP,gudP,BSU02480,270396,271763,1,-
gudD,gudD,BSU02490,271800,273167,1,-
ycbG,ycbG,BSU02500,273237,273938,1,-
garD,garD,BSU02510,274029,275561,1,-
S95,S95,new_275603_275837,275603,275837,1,5'
ycbJ,ycbJ,BSU02520,275838,276758,1,-
X.2,NA,BSU_misc_RNA_6,276815,277062,1,-
rtpA,rtpA,BSU02530,277160,277321,1,-
ycbK,ycbK,BSU02540,277342,278280,1,-
S96,S96,new_278308_278376,278308,278376,1,5'
ycbL,ycbL,BSU02550,278377,279057,1,-
ycbM,ycbM,BSU02560,279059,279994,1,-
ycbN,ycbN,BSU02570,280086,281009,1,-
S97,S97,new_280556_281740_c,280556,281740,-1,3'PT
ycbO,ycbO,BSU02580,281028,281714,1,-
ycbP,ycbP,BSU02590,281769,282155,-1,-
S98,S98,new_282233_283231_c,282233,283231,-1,5'
cwlJ,cwlJ,BSU02600,282469,282897,1,-
ycbR,ycbR,BSU02610,283003,283734,1,-
yczK,yczK,BSU02619,283816,283992,1,-
phoD,phoD,BSU02620,284011,285762,1,-
tatAD,tatAD,BSU02630,285775,285987,1,-
S99,S99,new_285988_286047,285988,286047,1,intra
tatCD,tatCD,BSU02640,286048,286776,1,-
pcp,pcp,BSU02650,286773,287420,-1,-
ycbU,ycbU,BSU02660,287499,288611,1,-
lmrB,lmrB,BSU02670,288653,290092,-1,-
lmrA,lmrA,BSU02680,290132,290698,-1,-
ansZ,ansZ,BSU02690,290915,292042,1,-
estA,estA,BSU02700,292205,292843,1,-
S100,S100,new_292874_293464,292874,293464,1,inter
yczC,yczC,BSU02710,292881,293264,-1,-
yccF,yccF,BSU02720,293499,294575,1,-
natK,natK,BSU02730,294615,295571,-1,-
natR,natR,BSU02740,295584,296285,-1,-
natA,natA,BSU02750,296429,297169,1,-
natB,natB,BSU02760,297170,298330,1,-
yccK,yccK,BSU02770,298466,299398,1,-
ycdA,ycdA,BSU02780,299438,300502,-1,-
S101,S101,new_300503_300693_c,300503,300693,-1,5'
ycdB,ycdB,BSU02790,300830,302248,1,-
S102,S102,new_302355_302434,302355,302434,1,5'
ycdC,ycdC,BSU02800,302435,303796,1,-
S103,S103,new_303797_304377,303797,304377,1,inter
cwlK,cwlK,BSU02810,303804,304307,-1,-
S104,S104,new_304308_304389_c,304308,304389,-1,5'
rapJ,rapJ,BSU02820,304430,305551,1,-
ycdF,ycdF,BSU02830,305658,306434,1,-
ycdG,ycdG,BSU02840,306459,308144,1,-
adcA,adcA,BSU02850,308332,309291,1,-
adcC,adcC,BSU02860,309347,310042,1,-
adcB,adcB,BSU02870,310000,310842,1,-
yceB,yceB,BSU02880,310880,311875,-1,-
S105,S105,new_311859_312061,311859,312061,1,5'
S106,S106,new_312063_312158,312063,312158,1,5'
yceC,yceC,BSU02890,312159,312758,1,-
yceD,yceD,BSU02900,312780,313361,1,-
yceE,yceE,BSU02910,313396,313974,1,-
yceF,yceF,BSU02920,314025,314798,1,-
yceG,yceG,BSU02930,314883,316496,1,-
yceH,yceH,BSU02940,316512,317603,1,-
yceI,yceI,BSU02950,317725,318927,1,-
yceJ,yceJ,BSU02960,319180,320352,-1,-
yceK,yceK,BSU02970,320421,320723,-1,-
opuAA,opuAA,BSU02980,321013,322269,1,-
opuAB,opuAB,BSU02990,322271,323119,1,-
opuAC,opuAC,BSU03000,323119,324000,1,-
amhX,amhX,BSU03010,324038,325189,-1,-
S107,S107,new_325190_325277_c,325190,325277,-1,5'
ycgA,ycgA,BSU03020,325339,326772,1,-
ycgB,ycgB,BSU03030,326888,327469,1,-
S108,S108,new_327480_327617,327480,327617,1,5'
amyE,amyE,BSU03040,327618,329597,1,-
ldh,ldh,BSU03050,329774,330739,1,-
lctP,lctP,BSU03060,330771,332396,1,-
mdr,mdr,BSU03070,332441,333979,-1,-
ycgE,ycgE,BSU03080,334092,334556,1,-
ycgF,ycgF,BSU03090,334630,335259,1,-
ycgG,ycgG,BSU03100,335329,336090,1,-
S109,S109,new_335729_336091_c,335729,336091,-1,3'Ext
ycgH,ycgH,BSU03110,336092,337432,-1,-
ycgI,ycgI,BSU03120,337562,338158,1,-
S110,S110,new_338187_338287,338187,338287,1,5'
nadE,nadE,BSU03130,338288,339106,1,-
tmrB,tmrB,BSU03140,339156,339749,-1,-
S111,S111,new_339807_339955_c,339807,339955,-1,indep-Ext
S112,S112,new_339879_339987,339879,339987,1,5'
aroK,aroK,BSU03150,340025,340585,1,-
ycgJ,ycgJ,BSU03160,340613,341374,-1,-
ycgK,ycgK,BSU03170,341492,342466,1,-
S113,S113,new_342467_342537,342467,342537,1,intra
cah,cah,BSU03180,342538,343494,1,-
S114,S114,new_343495_343573,343495,343573,1,inter
ycgL,ycgL,BSU03190,343578,344360,1,-
S115,S115,new_344370_344497,344370,344497,1,inter
ycgM,ycgM,BSU03200,344551,345462,1,-
ycgN,ycgN,BSU03210,345479,347026,1,-
S116,S116,new_347027_347149,347027,347149,1,5'
ycgO,ycgO,BSU03220,347150,348571,1,-
S117,S117,new_347670_349525_c,347670,349525,-1,indep-Ext
S118,S118,new_348596_348692,348596,348692,1,inter
ycgP,ycgP,BSU03230,348724,349959,1,-
ycgQ,ycgQ,BSU03240,349996,350853,-1,-
ycgR,ycgR,BSU03250,350858,351742,-1,-
ycgS,ycgS,BSU03260,351842,352696,-1,-
S119,S119,new_352793_352857,352793,352857,1,5'
ycgT,ycgT,BSU03270,352858,353868,1,-
S120,S120,new_353869_356316,353869,356316,1,3'Ext
nasF,nasF,BSU03280,353900,355351,-1,-
nasE,nasE,BSU03290,355412,355732,-1,-
nasD,nasD,BSU03300,355764,358181,-1,-
nasC,nasC,BSU03310,358303,360435,-1,-
nasB,nasB,BSU03320,360442,362757,-1,-
nasA,nasA,BSU03330,362937,364142,1,-
folEB,folEB,BSU03340,364259,365173,1,-
yciB,yciB,BSU03350,365170,365754,1,-
yczL,yczL,BSU03359,365850,366035,1,-
yciC,yciC,BSU03360,366063,367256,1,-
S121,S121,new_367293_368962,367293,368962,1,inter
yckA,yckA,BSU03370,367305,367985,-1,-
yckB,yckB,BSU03380,367995,368858,-1,-
S122,S122,new_368894_371728_c,368894,371728,-1,inter
S123,S123,new_368964_369186,368964,369186,1,5'
yckC,yckC,BSU03390,369236,369691,1,-
yckD,yckD,BSU03400,369773,370105,1,-
bglC,bglC,BSU03410,370259,371692,1,-
nin,nin,BSU03420,371729,372127,-1,-
nucA,nucA,BSU03430,372154,372597,-1,-
S124,S124,new_372628_372770_c,372628,372770,-1,inter
tlpC,tlpC,BSU03440,372771,374492,-1,-
S125,S125,new_372801_375944,372801,375944,1,5'
hxlB,hxlB,BSU03450,374603,375160,-1,-
hxlA,hxlA,BSU03460,375166,375798,-1,-
hxlR,hxlR,BSU03470,376032,376394,1,-
S126,S126,new_376667_376967,376667,376967,1,5'
srfAA,srfAA,BSU03480,376968,387731,1,-
srfAB,srfAB,BSU03490,387744,398495,1,-
comS,comS,BSU03500,390880,391020,1,-
srfAC,srfAC,BSU03510,398532,402359,1,-
srfAD,srfAD,BSU03520,402388,403116,1,-
ycxA,ycxA,BSU03530,403217,404443,1,-
ycxB,ycxB,BSU03540,404458,405015,-1,-
ycxC,ycxC,BSU03550,405069,406007,-1,-
ycxD,ycxD,BSU03560,406131,407465,1,-
sfp,sfp,BSU03569,407460,407627,-1,-
sfp.1,sfp,BSU03570,407638,408135,-1,-
yczE,yczE,BSU03580,408240,408887,-1,-
S127,S127,new_409056_409207_c,409056,409207,-1,3'PT
tcyC,tcyC,BSU03590,409208,409951,-1,-
tcyB,tcyB,BSU03600,409965,410669,-1,-
tcyA,tcyA,BSU03610,410656,411462,-1,-
yclA,yclA,BSU03620,411578,412450,-1,-
ubiX,ubiX,BSU03630,412540,413154,1,-
ubiD,ubiD,BSU03640,413157,414578,1,-
bsdD,bsdD,BSU03651,414595,414822,1,-
yclD,yclD,BSU03652,414819,415283,1,-
yclE,yclE,BSU03660,415350,416195,1,-
dtpT,dtpT,BSU03670,416235,417713,-1,-
S128,S128,new_417763_418267_c,417763,418267,-1,5'
yclG,yclG,BSU03680,417993,419747,1,-
yczF,yczF,BSU03690,419763,419984,-1,-
gerKA,gerKA,BSU03700,420110,421744,1,-
gerKC,gerKC,BSU03710,421734,422957,1,-
gerKB,gerKB,BSU03720,422982,424103,1,-
yclH,yclH,BSU03730,424208,424888,-1,-
yclI,yclI,BSU03740,424904,426364,-1,-
yclJ,yclJ,BSU03750,426577,427260,1,-
yclK,yclK,BSU03760,427247,428668,1,-
S129,S129,new_428689_428793,428689,428793,1,inter
rapC,rapC,BSU03770,428831,429979,1,-
phrC,phrC,BSU03780,429963,430085,1,-
yczM,yczM,BSU03788,430185,430274,-1,-
yczN,yczN,BSU03789,430356,430469,-1,-
yclM,yclM,BSU03790,430623,431987,-1,-
S130,S130,new_432271_432371,432271,432371,1,5'
yclN,yclN,BSU03800,432372,433322,1,-
yclO,yclO,BSU03810,433315,434262,1,-
yclP,yclP,BSU03820,434256,435014,1,-
yclQ,yclQ,BSU03830,435036,435989,1,-
ycnB,ycnB,BSU03840,436036,437454,-1,-
ycnC,ycnC,BSU03850,437474,438352,-1,-
S131,S131,new_438353_438419_c,438353,438419,-1,5'
ycnD,ycnD,BSU03860,438516,439265,-1,-
ycnE,ycnE,BSU03870,439282,439569,-1,-
yczG,yczG,BSU03880,439709,440023,1,-
gabR,gabR,BSU03890,440025,441464,-1,-
gabT,gabT,BSU03900,441571,442881,1,-
gabD,gabD,BSU03910,442950,444338,1,-
glcU,glcU,BSU03920,444461,445324,1,-
gdh,gdh,BSU03930,445344,446129,1,-
ycnI,ycnI,BSU03940,446174,446788,-1,-
ycnJ,ycnJ,BSU03950,446801,448426,-1,-
ycnK,ycnK,BSU03960,448461,449033,-1,-
ycnL,ycnL,BSU03970,449198,449551,1,-
S132,S132,new_449651_449723,449651,449723,1,5'
mtlA,mtlA,BSU03981,449724,451160,1,-
mtlF,mtlF,BSU03982,451185,451616,1,-
mtlD,mtlD,BSU03990,451618,452739,1,-
ycsA,ycsA,BSU04000,452830,453894,1,-
sipU,sipU,BSU04010,454029,454592,1,-
S133,S133,new_454593_455317,454593,455317,1,inter
yczH,yczH,BSU04020,454652,455260,-1,-
ycsD,ycsD,BSU04030,455346,455738,1,-
