source	target	sign	mechanism
scoC	appA.1	-1	TF
codY	appA.1	-1	TF+M
tnrA	appA.1	0	TF+P+M
sigW	xpaC	1	sigma factor
birA	ytbQ	-1	TF+P+M
sigA	comK	1	sigma factor
spo0A	comK	1	TF+PP
rok	comK	-1	TF
degU	comK	1	TF+TC
comK	comK	1	TF
codY	comK	-1	TF+M
abrB	comK	-1	TF
med	comK	1	P
sigA	iolB	1	sigma factor
iolR	iolB	-1	TF+M
ccpA	iolB	-1	TF+PP+M
sigA	ykuN	1	sigma factor
fur	ykuN	-1	TF+M
stringent response	frr	-1	unk
sigE	patA	1	sigma factor
yrkP	yrkN	1	TF+TC
sigB	yraA	1	sigma factor
sigM	yraA	1	sigma factor
adhR	yraA	1	TF+S
sigA	scr	1	sigma factor
sigA	sipW	1	sigma factor
sinR	sipW	-1	TF
abrB	sipW	-1	TF
spo0A	sipW	1	TF+PP
sigH	racA	1	sigma factor
spo0A	racA	1	TF+PP
sigE	yozE	1	sigma factor
ccpA	lplC	0	TF+PP+M
sigB	yfkH	1	sigma factor
sigA	yfkH	1	sigma factor
sigB	yxkO	1	sigma factor
sigA	pheS	1	sigma factor
T-box-PHE	pheS	1	RNA switch
sigE	thiN	1	sigma factor
ybfI	ybfI	0	silico-TF+unk
sigK	spoVIF	1	sigma factor
gerR	spoVIF	1	TF
gerE	spoVIF	1	TF
sigM	ypbG	1	sigma factor
sigK	ypbG	1	sigma factor
sigE	ypbG	1	sigma factor
spoIIID	ypbG	-1	TF
yesS	yesQ	0	TF+P+unk
ccpA	yesQ	0	TF+PP+M
codY	murQ	0	TF+M
murR	murQ	0	silico-TF+M
sigE	stoA	1	sigma factor
sigG	stoA	1	sigma factor
spoIIID	stoA	-1	TF
sigK	yqcI	1	sigma factor
sigA	tpiA	1	sigma factor
cggR	tpiA	-1	TF+M
sigB	rsbU	1	sigma factor
sigA	rsbU	1	sigma factor
sigK	sspG	1	sigma factor
sigE	sspG	1	sigma factor
gerE	sspG	1	TF
sigA	aprE	1	sigma factor
sinR	aprE	-1	TF
scoC	aprE	-1	TF
abrB	aprE	-1	TF
tenA	aprE	1	unk
degU	aprE	1	TF+TC
lexA	pcrB	-1	TF-proteolyse
codY	yufP	-1	TF+M
spo0A	yqzC	-1	TF+PP
ccpA	yvcI	-1	TF+PP+M
sigA	nagBA	1	sigma factor
nagR	nagBA	-1	TF+M
ccpA	nagBA	-1	TF+PP+M
walR	iseA	-1	TF+TC
stringent response	rpsNA	-1	unk
stringent response	rplQ	-1	unk
sigA	epsN	1	sigma factor
sigH	epsN	1	sigma factor
sinR	epsN	-1	TF
eAR	epsN	0	RNA antiterminator
abrB	epsN	-1	TF
sigA	dhbC	1	sigma factor
fur	dhbC	-1	TF+M
abrB	dhbC	-1	TF
ccpA	yvmB	-1	TF+PP+M
phoP	pstBB	1	TF+TC
T-box-TRP	trpS	1	RNA switch
sigE	ylbO	1	sigma factor
spoIIID	ylbO	1	TF
sigA	groES	1	sigma factor
hrcA	groES	-1	TF+HrcA unstability
sigG	yraD	1	sigma factor
sigA	purK	1	sigma factor
purR	purK	-1	TF+M
G-box-HXTX	purK	1	riboswitch
G-box-GUA	purK	1	riboswitch
abrB	estA	-1	TF
spoIIID	estA	1	TF
sigD	yscB	1	sigma factor
abrB	yscB	-1	TF
sigB	yxbG	1	sigma factor
sigA	ytnL	1	sigma factor
ytlI	ytnL	1	TF+M
cymR	ytnL	-1	TF+P+M
spx	ytnL	-1	TF+S
sigA	sdhA	1	sigma factor
fsrA	sdhA	-1	small regulatory RNA
ccpA	sdhA	-1	TF+PP+M
sigG	yvaB	1	sigma factor
mhqR	yvaB	-1	TF+M
spoVT	yvaB	-1	TF
stringent response	rpsL	-1	unk
sigB	cdd	1	sigma factor
sigA	cdd	1	sigma factor
spo0A	cdd	1	TF+PP
sigA	leuD	1	sigma factor
tnrA	leuD	-1	TF+P+M
fsrA	leuD	-1	small regulatory RNA
codY	leuD	-1	TF+M
ccpA	leuD	1	TF+PP+M
T-box-LEU	leuD	1	RNA switch
sigH	bacB	1	sigma factor
scoC	bacB	-1	TF
codY	bacB	-1	TF+M
abrB	bacB	-1	TF
ccpA	ylbQ	0	TF+PP+M
sigE	yutH	1	sigma factor
sigF	yutH	1	sigma factor
spoIIID	yutH	-1	TF
sigB	yvrE	1	sigma factor
comK	yvrO	1	TF
abrB	yvrO	-1	TF
ccpA	cspD	0	TF+PP+M
sigA	adaA	1	sigma factor
adaA	adaA	1	TF+S
sigH	cwlS	1	sigma factor
sigD	cwlS	1	sigma factor
ccpA	cwlS	-1	TF+PP+M
abrB	cwlS	-1	TF
abh	cwlS	-1	TF
sigA	argJ	1	sigma factor
ahrC	argJ	-1	TF+M
abrB	argJ	1	TF
tnrA	argJ	0	TF+P+M
rmgR	yteU	0	silico-TF+M
sigA	leuB	1	sigma factor
tnrA	leuB	-1	TF+P+M
codY	leuB	-1	TF+M
ccpA	leuB	1	TF+PP+M
T-box-LEU	leuB	1	RNA switch
sigA	yuxK	1	sigma factor
codY	yuxK	0	TF+M
sigA	dctP	1	sigma factor
fsrA	dctP	-1	small regulatory RNA
ccpA	dctP	-1	TF+PP+M
dctR	dctP	1	TF+TC
sigW	ywaC	1	sigma factor
sigM	ywaC	1	sigma factor
ccpA	sigL	-1	TF+PP+M
sigH	abnB	1	sigma factor
ccpA	abnB	-1	TF+PP+M
sigE	yhaL	1	sigma factor
codY	hom	0	TF+M
sigK	ygaK	1	sigma factor
ccpA	yllA	0	TF+PP+M
sigF	yisN	1	sigma factor
stringent response	rplU	-1	unk
L21_leader	rplU	0	silico-RNA switch
sigK	cgeE	1	sigma factor
gerE	cgeE	1	TF
sigG	ymfD	1	sigma factor
mta	ymfD	1	TF+M
sigW	yqfA	1	sigma factor
sigK	lytH	1	sigma factor
sigE	patB	1	sigma factor
sigB	dps	1	sigma factor
stringent response	rplGB	-1	unk
sigA	argF	1	sigma factor
ahrC	argF	-1	TF+M
abrB	argF	1	TF
tnrA	argF	0	TF+P+M
sigM	metA	1	sigma factor
mifM	oxaAB	1	Translation regulation
sigA	spoIIIE	1	sigma factor
sigA	acuC	1	sigma factor
ccpA	acuC	-1	TF+PP+M
codY	acuC	0	TF+M
codY	ybbH	0	TF+M
murR	ybbH	0	silico-TF+M
sigB	ywsB	1	sigma factor
sigG	ykoU	1	sigma factor
spoVT	ykoU	1	TF
RNA - Cobalamin	yvrA	0	silico-riboswitch
sigG	csbX	1	sigma factor
sigF	csbX	1	sigma factor
sigB	csbX	1	sigma factor
ccpA	csbX	-1	TF+PP+M
spoVT	csbX	-1	TF
yvrHb	bdbB	1	TF+TC
rok	bdbB	-1	TF
abrB	bdbB	-1	TF
abh	bdbB	1	TF
sigM	ydaH	1	sigma factor
sigA	prfB	1	sigma factor
sigA	gltX	1	sigma factor
ccpA	citT	0	TF+PP+M
sigA	dhbB	1	sigma factor
fur	dhbB	-1	TF+M
abrB	dhbB	-1	TF
lexA	yolC	-1	TF-proteolyse
abrB	yolC	-1	TF
sigA	nadC	1	sigma factor
nadR	nadC	-1	TF+M
sigE	yodR	1	sigma factor
abrB	yokI	-1	TF
sigE	yodT	1	sigma factor
sigG	ysnB	1	sigma factor
sigD	flhP	1	sigma factor
sigE	flhP	1	sigma factor
stringent response	flhP	-1	unk
qdor	yxaH	-1	TF+M
lmrA	yxaH	-1	TF+M
abrB	ywcE	-1	TF
sigW	yvlB	1	sigma factor
abrB	yvlB	-1	TF
sigE	yqfZ	1	sigma factor
spoIIID	yqfZ	-1	TF
stringent response	rpsE	-1	unk
fur	yhfQ	-1	TF+M
ansR	ansR	-1	TF+M
fur	ydbN	-1	TF+M
sigA	iolF	1	sigma factor
iolR	iolF	-1	TF+M
ccpA	iolF	-1	TF+PP+M
rmgR	yteS	0	silico-TF+M
sigE	spoIIM	1	sigma factor
gerR	spoIIM	-1	TF
gerE	spoIIM	-1	TF
hisR	hisA	0	silico-TF+M
sigA	ptsI	1	sigma factor
stringent response	ptsI	-1	unk
glcT	ptsI	1	P-AT+PTS
sigA	leuA	1	sigma factor
tnrA	leuA	-1	TF+P+M
codY	leuA	-1	TF+M
ccpA	leuA	1	TF+PP+M
T-box-LEU	leuA	1	RNA switch
spo0A	rok	-1	TF+PP
sinR	rok	-1	TF
rok	rok	-1	TF
abrB	rok	-1	TF
comK	rok	-1	TF
codY	rok	0	TF+M
sigF	radA	1	sigma factor
sigB	radA	1	sigma factor
sigA	radA	1	sigma factor
ctsR	radA	-1	TF+unstability
sigA	opuBD	1	sigma factor
gbsR	opuBD	-1	TF+M
codY	opuBD	0	TF+M
yvbF/YvaV	opuBD	0	silico-TF+unk
sigK	ymdB	1	sigma factor
sigA	trpA	1	sigma factor
TRAP	trpA	-1	RNA-BAP
sigK	yoaN	1	sigma factor
gerE	yoaN	-1	TF
sigH	kinE	1	sigma factor
sigA	kinE	1	sigma factor
codY	kinE	0	TF+M
yrkP	yrkP	1	TF+TC
sigA	gabP	1	sigma factor
tnrA	gabP	1	TF+P+M
codY	gabP	-1	TF+M
sigA	nasF	1	sigma factor
tnrA	nasF	1	TF+P+M
resD	nasF	1	TF+TC
nsrR	nasF	-1	TF+M
fur	nasF	-1	TF+M
glnR	nasF	-1	TF+P+M
arfM	nasF	0	TF
codY	nasF	0	TF+M
sigW	ydbT	1	sigma factor
sigE	asnO	1	sigma factor
sigK	asnO	1	sigma factor
spoIIID	asnO	1	TF
ccpA	mleA	-1	TF+PP+M
ansR	mleA	-1	TF+M
sigE	yodQ	1	sigma factor
T-box-PRO	proA	1	RNA switch
lexA	ydgH	-1	TF-proteolyse
sigA	menE	1	sigma factor
sigA	ykzB	1	sigma factor
tnrA	ykzB	1	TF+P+M
phoP	ykzB	1	TF+TC
sknR	yqaF	-1	TF
sigE	ydbI	1	sigma factor
spoIIID	ydbI	-1	TF
rex	ydbI	0	TF+M
sigA	cspB	1	sigma factor
comK	cspB	0	TF
sigA	araM	1	sigma factor
ccpA	araM	-1	TF+PP+M
araR	araM	-1	TF+M
fur	exlX	-1	TF+M
sigA	yacP	1	sigma factor
T-box-CYS	yacP	1	RNA switch
sigG	sspO	1	sigma factor
spoVT	sspO	1	TF
codY	sspO	0	TF+M
sigK	yrhC	1	sigma factor
sigA	yrhC	1	sigma factor
spx	yrhC	1	TF+S
cymR	yrhC	-1	TF+P+M
codY	ybbF	0	TF+M
murR	ybbF	0	silico-TF+M
sigM	yacL	1	sigma factor
sigB	yacL	1	sigma factor
sigA	acuA	1	sigma factor
ccpA	acuA	-1	TF+PP+M
codY	acuA	0	TF+M
azlB	yrdK	-1	TF+unk
S-box-SAM	yoaC	-1	
hisR	hisG	0	silico-TF+M
csoR	copZ	-1	TF+M
sigB	yxnA	1	sigma factor
sigA	kapB	1	sigma factor
stringent response	kapB	1	unk
codY	kapB	-1	TF+M
abrB	kapB	-1	TF
ccpA	lplD	0	TF+PP+M
walR	ydjM	1	TF+TC
phoP	ydjM	1	TF+TC
sigH	ynaD	1	sigma factor
lexA	parE	-1	TF-proteolyse
sigK	gerE	1	sigma factor
spoIIID	gerE	1	TF
preQ1 riboswitch	queC	-1	riboswitch
sigA	ysdA	1	sigma factor
stringent response	ysdA	-1	unk
rplT	ysdA	-1	RNA switch
T-box-TYR	tyrZ	1	RNA switch
yybA	yyaS	0	silico-TF+unk
codY	yufN	-1	TF+M
sigA	albC	1	sigma factor
rok	albC	-1	TF
resD	albC	1	TF+TC
abrB	albC	-1	TF
sigA	xynB	1	sigma factor
xylR	xynB	-1	TF+M
ccpA	xynB	-1	TF+PP+M
sigA	comGC	1	sigma factor
comK	comGC	1	TF
comZ	comGC	-1	TF
codY	yppF	0	TF+M
sigA	yxeK	1	sigma factor
cymR	yxeK	-1	TF+P+M
spx	yxeK	-1	TF+S
S-box-SAM	yitH	-1	
sigA	glsA	1	sigma factor
glnL	glsA	1	TF+TC
ccpA	glsA	0	TF+PP+M
ycbG	ycbG	-1	TF+M
sigM	ispF	1	sigma factor
sigB	ispF	1	sigma factor
yvrHb	sunA	1	TF+TC
rok	sunA	-1	TF
abrB	sunA	-1	TF
abh	sunA	1	TF
sigA	purE	1	sigma factor
purR	purE	-1	TF+M
G-box-HXTX	purE	1	riboswitch
G-box-GUA	purE	1	riboswitch
gbsR	gbsA	-1	TF+M
sigA	ydfJ	1	sigma factor
ydfI	ydfJ	1	TF+TC
mntR	mntC	-1	TF+M
ycnK	ycnI	-1	TF+M
sigX	dltB	1	sigma factor
sigM	dltB	1	sigma factor
sigD	dltB	1	sigma factor
yvrHb	dltB	1	TF+TC
stringent response	dltB	-1	unk
spo0A	dltB	-1	TF+PP
lexA	yorB	-1	TF-proteolyse
spx	trxB	1	TF+S
sigA	yydI	1	sigma factor
rok	yydI	-1	TF
abrB	yydI	-1	TF
sigG	yozF	1	sigma factor
sigA	metC	1	sigma factor
S-box-SAM	metC	-1	
codY	metC	0	TF+M
sigA	gntR	1	sigma factor
sigK	gntR	1	sigma factor
gntR	gntR	-1	TF+M
ccpA	gntR	-1	TF+PP+M
abrB	gntR	1	TF
ccpB	gntR	-1	TF+unk
sigD	flgB	1	sigma factor
sigA	flgB	1	sigma factor
spo0A	flgB	-1	TF+PP
codY	flgB	-1	TF+M
sigM	sbp	1	sigma factor
sigE	sbp	1	sigma factor
sigA	sbp	1	sigma factor
spoIIID	sbp	-1	TF
gerR	sbp	-1	TF
sigD	yoaH	1	sigma factor
sigG	ysfB	1	sigma factor
sigE	ywdL	1	sigma factor
tnrA	yycC	-1	TF+P+M
sigE	yckC	1	sigma factor
comK	ssbB	1	TF
ccpA	mtlR	-1	TF+PP+M
mtlR	mtlR	0	TF+PTS
sigL	ptb	1	sigma factor
codY	ptb	-1	TF+M
bkdR	ptb	1	TF+M
tnrA	ptb	-1	TF+P+M
sigK	yfnD	1	sigma factor
sigE	yfnD	1	sigma factor
gerR	yfnD	-1	TF
sigL	levR	1	sigma factor
levR	levR	1	TF+PTS
ccpA	levR	-1	TF+PP+M
sigE	ylmC	1	sigma factor
spoIIID	ylmC	-1	TF
sigG	sspM	1	sigma factor
sigD	fliM	1	sigma factor
sigA	fliM	1	sigma factor
spo0A	fliM	-1	TF+PP
codY	fliM	-1	TF+M
sigA	srfAC	1	sigma factor
spx	srfAC	-1	TF+S
perR	srfAC	1	TF+S
comA	srfAC	1	TF+TC
codY	srfAC	-1	TF+M
abh	srfAC	-1	TF
sigA	rbsB	1	sigma factor
ccpA	rbsB	-1	TF+PP+M
abrB	rbsB	1	TF
rbsR	rbsB	0	silico-TF+M
sigG	yraE	1	sigma factor
spo0A	yqxJ	1	TF+PP
abrB	yqxJ	-1	TF
RNA - Cobalamin	yvrB	0	silico-riboswitch
resD	qcrB	1	TF+TC
abrB	qcrB	-1	TF
ccpA	qcrB	-1	TF+PP+M
sigD	tlpA	1	sigma factor
abrB	tlpA	-1	TF
sigA	xsa	1	sigma factor
ccpA	xsa	-1	TF+PP+M
araR	xsa	-1	TF+M
padR	yveF	-1	TF+M
spo0A	yqcF	1	TF+PP
sigA	ywkB	1	sigma factor
malR	ywkB	1	TF+TC
ytcD	ytcD	0	silico-TF+unk
sigA	resD	1	sigma factor
resD	resD	1	TF+TC
phoP	resD	1	TF+TC
ccpA	resD	-1	TF+PP+M
spx	yugJ	1	TF+S
sigA	nrdI	1	sigma factor
resD	nrdI	1	TF+TC
nrdR	nrdI	0	silico-TF+M
sigE	yfhS	1	sigma factor
sigG	yfhS	1	sigma factor
sigA	yfhS	1	sigma factor
yfhP	yfhS	-1	unk
spoVT	yfhS	-1	TF
rsfA	yfhS	1	P
sigW	ybfP	1	sigma factor
abrB	ybfP	-1	TF
sigA	iolJ	1	sigma factor
iolR	iolJ	-1	TF+M
ccpA	iolJ	-1	TF+PP+M
yrkD	yrkE	0	silico-TF+unk
sigX	pbpX	1	sigma factor
sigM	pbpX	1	sigma factor
sigW	pbpX	1	sigma factor
lexA	pbpX	0	TF-proteolyse
frlR	frlM	-1	TF+M
codY	frlM	-1	TF+M
ccpA	yqgY	0	TF+PP+M
cymR	yezD	-1	TF+P+M
sigE	ycgM	1	sigma factor
spo0A	ycgM	1	TF+PP
putR	ycgM	1	TF+M
codY	ycgM	-1	TF+M
spoIIID	ycgM	1	TF
ccpA	ycgM	-1	TF+PP+M
padR	yveG	-1	TF+M
lacR	ganR	0	TF+M
sigE	yybI	1	sigma factor
sigW	ydjO	1	sigma factor
sigE	ydjO	1	sigma factor
sigA	abnA	1	sigma factor
ccpA	abnA	-1	TF+PP+M
araR	abnA	-1	TF+M
sigH	rapF	1	sigma factor
comA	rapF	1	TF+TC
ccpA	rapF	-1	TF+PP+M
abrB	yolB	-1	TF
sigE	yngHB	1	sigma factor
spoIIID	yngHB	-1	TF
ccpA	yngHB	0	TF+PP+M
sigE	yocM	1	sigma factor
sigL	lpdV	1	sigma factor
codY	lpdV	-1	TF+M
bkdR	lpdV	1	TF+M
tnrA	lpdV	-1	TF+P+M
sigF	ytfJ	1	sigma factor
sigA	narI	1	sigma factor
fnr	narI	1	TF+M
Gly-box	gcvPB	-1	riboswitch
spoVT	gcvPB	1	TF
T-box-GLY	gcvPB	-1	RNA switch
sigE	ycgN	1	sigma factor
spo0A	ycgN	1	TF+PP
putR	ycgN	1	TF+M
codY	ycgN	-1	TF+M
spoIIID	ycgN	1	TF
ccpA	ycgN	-1	TF+PP+M
stringent response	rplF	-1	unk
ccpA	yopL	-1	TF+PP+M
sigH	dacC	1	sigma factor
sigB	dacC	1	sigma factor
sigH	bacC	1	sigma factor
scoC	bacC	-1	TF
codY	bacC	-1	TF+M
abrB	bacC	-1	TF
ycxD	ycxC	0	silico-TF+unk
sigA	ctaD	1	sigma factor
resD	ctaD	1	TF+TC
ccpA	ctaD	-1	TF+PP+M
abrB	ctaD	-1	TF
abh	ctaD	-1	TF
codY	ctrA	-1	TF+M
sigA	kinB	1	sigma factor
stringent response	kinB	1	unk
codY	kinB	-1	TF+M
abrB	kinB	-1	TF
sigG	yhbJ	1	sigma factor
comK	yhbJ	1	TF
spo0A	yusE	1	TF+PP
sigB	ysnF	1	sigma factor
sigD	yjfB	1	sigma factor
sigE	kamA	1	sigma factor
yesS	yesX	1	TF+P+unk
ccpA	yesX	0	TF+PP+M
spo0A	sdpA	1	TF+PP
rok	sdpA	-1	TF
abrB	sdpA	-1	TF
sigE	yngE	1	sigma factor
spoIIID	yngE	-1	TF
ccpA	yngE	0	TF+PP+M
sigK	spsA	1	sigma factor
sigE	yozN	1	sigma factor
sigX	rsiX	1	sigma factor
sigA	rsiX	1	sigma factor
yvrHb	rsiX	1	TF+TC
sigG	yndF	1	sigma factor
spoVT	yndF	-1	TF
sigG	spoIIGA	1	sigma factor
sigF	spoIIGA	1	sigma factor
sigA	spoIIGA	1	sigma factor
spo0A	spoIIGA	1	TF+PP
sinR	spoIIGA	-1	TF
spoVT	spoIIGA	-1	TF
rsfA	spoIIGA	1	P
sigK	spsF	1	sigma factor
yqfL	ccpN	-1	unk
sigA	epsD	1	sigma factor
sigH	epsD	1	sigma factor
sinR	epsD	-1	TF
eAR	epsD	0	RNA antiterminator
abrB	epsD	-1	TF
sigA	menB	1	sigma factor
sigE	mmgA	1	sigma factor
ccpA	mmgA	-1	TF+PP+M
spoIIID	mmgA	-1	TF
sigE	ybfJ	1	sigma factor
spo0A	accA	1	TF+PP
sigF	yqhG	1	sigma factor
lexA	yqhG	0	TF-proteolyse
fur	ypbR	-1	TF+M
sigH	ypiF	1	sigma factor
ccpA	ypiF	-1	TF+PP+M
sigM	mreD	1	sigma factor
sigH	mreD	1	sigma factor
abrB	yphE	-1	TF
sigA	lmrB	1	sigma factor
lmrA	lmrB	-1	TF+M
qdor	lmrB	0	TF+M
sigA	gcaD	1	sigma factor
stringent response	gcaD	-1	unk
sigK	thiX	1	sigma factor
Thi-box	thiX	-1	riboswitch
sigK	yueE	1	sigma factor
sigA	jag	1	sigma factor
sigA	metE	1	sigma factor
S-box-SAM	metE	-1	
sigK	ypqP.1	1	sigma factor
sigA	rapC	1	sigma factor
sigH	rapC	1	sigma factor
comA	rapC	1	TF+TC
codY	rapC	-1	TF+M
tnrA	ydaB	0	TF+P+M
sigB	yjzE	1	sigma factor
sigA	cydD	1	sigma factor
rex	cydD	-1	TF+M
resD	cydD	1	TF+TC
ccpA	cydD	-1	TF+PP+M
sigA	xylA	1	sigma factor
xylR	xylA	-1	TF+M
ccpA	xylA	-1	TF+PP+M
ccpB	xylA	-1	TF+unk
sigB	ylxP	1	sigma factor
sigA	ylxP	1	sigma factor
stringent response	ylxP	-1	unk
sigK	ymfI	1	sigma factor
sigB	ydeC	1	sigma factor
sigA	lysS	1	sigma factor
sigA	sinI	1	sigma factor
sigH	sinI	1	sigma factor
spo0A	sinI	-1	TF+PP
scoC	sinI	-1	TF
abrB	sinI	-1	TF
sinR	sinI	-1	TF
sigE	sqhC	1	sigma factor
sigK	spoIVCB	1	sigma factor
sigE	spoIVCB	1	sigma factor
spoIIID	spoIVCB	1	TF
gerE	spoIVCB	-1	TF
spx	tpx	1	TF+S
abrB	yphF	-1	TF
sigA	etfB	1	sigma factor
fadR	etfB	-1	TF+M
ccpA	etfB	-1	TF+PP+M
scoC	appC	-1	TF
codY	appC	-1	TF+M
tnrA	appC	0	TF+P+M
abrB	yncM	-1	TF
spoVT	ykzE	1	TF
sigH	yhaR	1	sigma factor
ccpA	yhaR	-1	TF+PP+M
stringent response	rpsP	-1	unk
sigA	rapA	1	sigma factor
spo0A	rapA	-1	TF+PP
comA	rapA	1	TF+TC
codY	rapA	-1	TF+M
xre	xre	-1	TF
sigE	sspE	1	sigma factor
sigG	sspE	1	sigma factor
sigA	sspE	1	sigma factor
yfhP	sspE	-1	unk
spoVT	sspE	-1	TF
rsfA	sspE	1	P
sigA	yydG	1	sigma factor
abrB	yydG	-1	TF
rok	yydG	-1	TF
yvrHb	sunT	1	TF+TC
rok	sunT	-1	TF
abrB	sunT	-1	TF
abh	sunT	1	TF
sigL	bkdB	1	sigma factor
codY	bkdB	-1	TF+M
bkdR	bkdB	1	TF+M
tnrA	bkdB	-1	TF+P+M
sigK	spsD	1	sigma factor
sigK	yycP	1	sigma factor
sigE	yycP	1	sigma factor
phoP	yycP	1	TF+TC
sigA	iolI	1	sigma factor
iolR	iolI	-1	TF+M
ccpA	iolI	-1	TF+PP+M
S-box-SAM	yitI	-1	
sigK	ytlD	1	sigma factor
xpf	xtmB	1	sigma factor
sigA	ccdA	1	sigma factor
sigH	ccdA	1	sigma factor
sigD	ybdO	1	sigma factor
abrB	ybdO	-1	TF
